timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock
1759808245.7664847,2025-10-07 11:37:25.766,54.63,0,47,14994,16376,0,0,53.61,19,44,13562,16376,0,0,62.1,0,45,14556,16376,0,0,54.46,0,40,13562,16376,0,0
1759808245.9873,2025-10-07 11:37:25.987,57.29,0,46,14994,16376,0,0,52.93,0,44,13562,16376,0,0,64.79,0,45,14556,16376,0,0,56.87,0,40,13562,16376,0,0
1759808246.1854377,2025-10-07 11:37:26.185,54.66,0,46,14994,16376,0,0,51.31,0,44,13562,16376,0,0,62.11,0,44,14556,16376,0,0,54.36,0,40,13562,16376,0,0
1759808246.4063954,2025-10-07 11:37:26.406,54.64,0,46,14994,16376,0,0,53.57,0,44,13562,16376,0,0,64.79,0,45,14556,16376,0,0,56.79,17,40,13562,16376,0,0
1759808246.6156805,2025-10-07 11:37:26.615,54.62,0,46,14994,16376,0,0,51.25,0,44,13562,16376,0,0,62.09,0,45,14556,16376,0,0,54.36,0,40,13562,16376,0,0
1759808246.8177772,2025-10-07 11:37:26.817,57.13,20,46,14994,16376,0,0,53.54,0,44,13562,16376,0,0,64.77,19,45,14556,16376,0,0,56.82,17,40,13562,16376,0,0
1759808247.0020485,2025-10-07 11:37:27.002,54.56,0,46,14994,16376,0,0,51.25,0,44,13562,16376,0,0,62.08,0,45,14556,16376,0,0,54.4,0,40,13562,16376,0,0
1759808247.1980572,2025-10-07 11:37:27.198,57.21,20,46,14994,16376,0,0,53.57,19,44,13562,16376,0,0,64.75,19,45,14556,16376,0,0,56.51,17,40,13562,16376,0,0
1759808247.4033751,2025-10-07 11:37:27.403,54.64,0,46,14994,16376,0,0,51.3,0,44,13562,16376,0,0,62.06,0,45,14556,16376,0,0,56.96,0,40,13562,16376,0,0
1759808247.60031,2025-10-07 11:37:27.600,57.24,0,48,14994,16376,0,0,52.6,14,45,13562,16376,0,0,62.06,0,47,14556,16376,0,0,54.53,0,40,13562,16376,0,0
